StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CF2,CF1,P_ID,Trap1,ReadingQ,VisionQ,FluencyQ,Age_1,Gender,Eng,Res,Chi,Practice_1,1_Per_Rea_1,2_Per_Rea_1,3_Per_Rea_1,4_Per_Rea_1,5_Per_Rea_1,6_Per_Rea_1,7_Per_Rea_1,8_Per_Rea_1,9_Per_Rea_1,10_Per_Rea_1,11_Per_Rea_1,12_Per_Rea_1,13_Per_Rea_1,14_Per_Rea_1,15_Per_Rea_1,16_Per_Rea_1,17_Per_Rea_1,18_Per_Rea_1,19_Per_Rea_1,20_Per_Rea_1,21_Per_Rea_1,22_Per_Rea_1,23_Per_Rea_1,24_Per_Rea_1,25_Per_Rea_1,26_Per_Rea_1,27_Per_Rea_1,28_Per_Rea_1,29_Per_Rea_1,30_Per_Rea_1,1_Per_Imp_1,2_Per_Imp_1,3_Per_Imp_1,4_Per_Imp_1,5_Per_Imp_1,6_Per_Imp_1,7_Per_Imp_1,8_Per_Imp_1,9_Per_Imp_1,10_Per_Imp_1,11_Per_Imp_1,12_Per_Imp_1,13_Per_Imp_1,14_Per_Imp_1,15_Per_Imp_1,16_Per_Imp_1,17_Per_Imp_1,18_Per_Imp_1,19_Per_Imp_1,20_Per_Imp_1,21_Per_Imp_1,22_Per_Imp_1,23_Per_Imp_1,24_Per_Imp_1,25_Per_Imp_1,26_Per_Imp_1,27_Per_Imp_1,28_Per_Imp_1,29_Per_Imp_1,30_Per_Imp_1,1_Per_Con_1,2_Per_Con_1,3_Per_Con_1,4_Per_Con_1,5_Per_Con_1,6_Per_Con_1,7_Per_Con_1,8_Per_Con_1,9_Per_Con_1,10_Per_Con_1,11_Per_Con_1,12_Per_Con_1,13_Per_Con_1,14_Per_Con_1,15_Per_Con_1,16_Per_Con_1,17_Per_Con_1,18_Per_Con_1,19_Per_Con_1,20_Per_Con_1,21_Per_Con_1,22_Per_Con_1,23_Per_Con_1,24_Per_Con_1,25_Per_Con_1,26_Per_Con_1,27_Per_Con_1,28_Per_Con_1,29_Per_Con_1,30_Per_Con_1,Practice_Gen_1,1_Gen_Rea_1,2_Gen_Rea_1,3_Gen_Rea_1,4_Gen_Rea_1,5_Gen_Rea_1,6_Gen_Rea_1,7_Gen_Rea_1,8_Gen_Rea_1,9_Gen_Rea_1,10_Gen_Rea_1,11_Gen_Rea_1,12_Gen_Rea_1,13_Gen_Rea_1,14_Gen_Rea_1,15_Gen_Rea_1,16_Gen_Rea_1,17_Gen_Rea_1,18_Gen_Rea_1,19_Gen_Rea_1,20_Gen_Rea_1,21_Gen_Rea_1,22_Gen_Rea_1,23_Gen_Rea_1,24_Gen_Rea_1,25_Gen_Rea_1,26_Gen_Rea_1,27_Gen_Rea_1,28_Gen_Rea_1,29_Gen_Rea_1,30_Gen_Rea_1,1_Gen_Imp_1,2_Gen_Imp_1,3_Gen_Imp_1,4_Gen_Imp_1,5_Gen_Imp_1,6_Gen_Imp_1,7_Gen_Imp_1,8_Gen_Imp_1,9_Gen_Imp_1,10_Gen_Imp_1,11_Gen_Imp_1,12_Gen_Imp_1,13_Gen_Imp_1,14_Gen_Imp_1,15_Gen_Imp_1,16_Gen_Imp_1,17_Gen_Imp_1,18_Gen_Imp_1,19_Gen_Imp_1,20_Gen_Imp_1,21_Gen_Imp_1,22_Gen_Imp_1,23_Gen_Imp_1,24_Gen_Imp_1,25_Gen_Imp_1,26_Gen_Imp_1,27_Gen_Imp_1,28_Gen_Imp_1,29_Gen_Imp_1,30_Gen_Imp_1,1_Gen_Con_1,2_Gen_Con_1,3_Gen_Con_1,4_Gen_Con_1,5_Gen_Con_1,6_Gen_Con_1,7_Gen_Con_1,8_Gen_Con_1,9_Gen_Con_1,10_Gen_Con_1,11_Gen_Con_1,12_Gen_Con_1,13_Gen_Con_1,14_Gen_Con_1,15_Gen_Con_1,16_Gen_Con_1,17_Gen_Con_1,18_Gen_Con_1,19_Gen_Con_1,20_Gen_Con_1,21_Gen_Con_1,22_Gen_Con_1,23_Gen_Con_1,24_Gen_Con_1,25_Gen_Con_1,26_Gen_Con_1,27_Gen_Con_1,28_Gen_Con_1,29_Gen_Con_1,30_Gen_Con_1,PROLIFIC_PID,GeoLocation
8/06/2020 2:00,8/06/2020 2:05,IP Address,151.226.2.236,100,274,TRUE,8/06/2020 2:05,R_Tu3JVPCxWvCpbY5,,,,,52.95379639,-1.157104492,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5d26f5eb7aa0b0000138b4ba,Chicago,No,Yes,Yes,23,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,4,1,5,1,7,11,10,10,1,2,91,20,91,94,60,78,0,83,63,11,66,50,0,93,10,66,0,63,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:00,8/06/2020 2:05,IP Address,86.156.182.94,100,264,TRUE,8/06/2020 2:05,R_szcLONzONAoAlJn,,,,,53.3500061,-1.550003052,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5e4527b4bce90f000b91d065,Chicago,No,Yes,Yes,46,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,96,12,8,63,7,50,58,17,85,16,73,79,68,79,11,57,67,47,34,81,36,81,44,30,45,16,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:00,8/06/2020 2:05,IP Address,86.142.42.100,100,287,TRUE,8/06/2020 2:05,R_2OSTNruZYQU23Ef,,,,,50.4644928,-4.464797974,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5ca48653ed23650001328d9d,Chicago,No,Yes,Yes,40,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,22,57,24,98,52,5,42,50,0,95,2,57,75,94,54,0,87,80,10,75,99,1,69,2,62,51,62,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:01,8/06/2020 2:06,IP Address,86.143.170.100,100,290,TRUE,8/06/2020 2:06,R_2awYsyybU8waAVW,,,,,52.33250427,-0.184402466,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5be0662dea836b0001e9870f,Chicago,No,Yes,Yes,41,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,71,13,68,18,76,69,64,19,63,34,89,48,79,83,84,93,20,84,82,30,86,82,13,95,51,77,73,72,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:00,8/06/2020 2:06,IP Address,84.13.166.46,100,331,TRUE,8/06/2020 2:06,R_2Yy0PAgZt1SD1k2,,,,,53.58149719,-2.17779541,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5ea1b086628da2084a3c37b7,Chicago,No,Yes,Yes,28,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,24,0,0,0,0,0,11,0,100,0,78,0,0,0,0,6,0,0,7,92,0,100,0,0,0,0,0,0,,United Kingdom
8/06/2020 2:01,8/06/2020 2:07,IP Address,82.3.84.215,100,349,TRUE,8/06/2020 2:07,R_3Is588VbLwvHytb,,,,,51.29110718,-1.05279541,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5dca918f9173807642d6d5b8,Chicago,No,Yes,Yes,36,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,99,0,0,0,0,0,0,0,0,45,0,15,0,2,0,0,0,0,0,0,0,0,47,0,10,0,0,32,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:00,8/06/2020 2:07,IP Address,86.183.231.134,100,397,TRUE,8/06/2020 2:07,R_2Tt7FFVQckq82QT,,,,,52.53689575,-0.204101563,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",595c064a647a040001dd3432,Chicago,No,Yes,Yes,33,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,65,0,42,9,0,60,25,0,100,0,4,0,0,0,0,64,0,58,0,65,0,100,0,62,43,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:02,8/06/2020 2:07,IP Address,195.213.95.240,100,291,TRUE,8/06/2020 2:07,R_1rukD8H6t4Tu5Ql,,,,,53.99510193,-1.162597656,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",57b4a771cda70d0001534835,Chicago,No,Yes,Yes,40,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,47,0,0,37,0,0,48,0,0,0,0,0,0,64,0,0,2,79,0,62,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:01,8/06/2020 2:07,IP Address,90.253.55.150,100,353,TRUE,8/06/2020 2:07,R_1gkgAFKd8ugYHBR,,,,,56.1427002,-3.295394897,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5ae5e66d3ab2fb0001ef2f3c,Chicago,No,Yes,Yes,35,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,72,0,28,20,0,24,35,0,59,0,38,31,28,19,1,11,37,0,24,23,0,80,0,38,67,0,0,0,,United Kingdom
8/06/2020 2:01,8/06/2020 2:07,IP Address,165.225.81.52,100,384,TRUE,8/06/2020 2:07,R_2dgdDmsrEPfLo1K,,,,,51.47169495,-0.116104126,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5ced352a6b2b3d001a94c003,Chicago,No,Yes,Yes,39,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,32,7,42,10,100,51,6,18,24,0,81,28,49,71,31,28,2,74,2,17,38,100,14,100,22,60,23,16,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:02,8/06/2020 2:07,IP Address,80.195.132.149,100,326,TRUE,8/06/2020 2:07,R_BsOszBGgj1buRy1,,,,,52.53379822,-1.7368927,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",584d88ee6a3e990001bf1b67,Chicago,No,Yes,Yes,41,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,9,0,21,2,0,5,6,0,62,0,20,60,82,49,0,48,16,2,1,81,5,49,0,13,12,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:01,8/06/2020 2:08,IP Address,86.168.132.45,100,386,TRUE,8/06/2020 2:08,R_6qW49uJ4FNmGCYx,,,,,52.11610413,-1.064804077,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",59c028e8754a19000111c303,Chicago,No,Yes,Yes,45,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,100,100,0,0,100,0,100,0,0,0,0,0,0,100,0,0,100,100,0,100,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:02,8/06/2020 2:08,IP Address,94.0.95.40,100,358,TRUE,8/06/2020 2:08,R_3qhUA4d3wgGKryp,,,,,51.36390686,0.613998413,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5e3ff7f1209f97228a6c26a9,Chicago,No,Yes,Yes,32,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,73,0,0,9,0,20,0,0,0,0,0,85,0,65,75,20,91,0,30,51,0,22,74,0,79,0,16,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:01,8/06/2020 2:08,IP Address,81.136.86.45,100,407,TRUE,8/06/2020 2:08,R_3EGVY5aHyP9zMP9,,,,,53.25579834,-0.507705688,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5ea96eb7083ea5057fd3003c,Chicago,No,Yes,Yes,26,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7,0,35,1,61,27,0,12,25,0,100,11,94,100,92,100,0,100,56,13,60,100,5,90,44,96,50,66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
8/06/2020 2:03,8/06/2020 2:08,IP Address,176.26.146.39,100,290,TRUE,8/06/2020 2:08,R_3HSaJTV9YvCSmY3,,,,,52.43910217,-1.50390625,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5e5432b7c1d6c60919eb11d8,Chicago,No,Yes,Yes,33,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,76,75,70,52,100,87,100,45,32,100,74,100,100,99,100,55,98,100,80,100,98,88,100,100,100,69,91,85,31,,United Kingdom
8/06/2020 2:00,8/06/2020 2:08,IP Address,88.108.63.117,100,460,TRUE,8/06/2020 2:08,R_1E42iuzXrp8a3XW,,,,,53.38310242,-1.460098267,anonymous,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",5863ab01ac950900013dd9dd,Chicago,No,Yes,Yes,56,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,0,18,0,0,50,0,1,71,0,10,50,0,17,0,84,0,0,51,49,0,70,0,49,0,51,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
