Duration (in seconds),Finished,ResponseId,UserLanguage,CF2,CF1,Trap1,ReadingQ,VisionQ,FluencyQ,Age_1,Sex,Eng,Res,Chi,Practice_1,1_Per_Rea_1,2_Per_Rea_1,3_Per_Rea_1,4_Per_Rea_1,5_Per_Rea_1,6_Per_Rea_1,7_Per_Rea_1,8_Per_Rea_1,9_Per_Rea_1,10_Per_Rea_1,11_Per_Rea_1,12_Per_Rea_1,13_Per_Rea_1,14_Per_Rea_1,15_Per_Rea_1,16_Per_Rea_1,17_Per_Rea_1,18_Per_Rea_1,19_Per_Rea_1,20_Per_Rea_1,21_Per_Rea_1,22_Per_Rea_1,23_Per_Rea_1,24_Per_Rea_1,25_Per_Rea_1,26_Per_Rea_1,27_Per_Rea_1,28_Per_Rea_1,29_Per_Rea_1,30_Per_Rea_1,1_Per_Imp_1,2_Per_Imp_1,3_Per_Imp_1,4_Per_Imp_1,5_Per_Imp_1,6_Per_Imp_1,7_Per_Imp_1,8_Per_Imp_1,9_Per_Imp_1,10_Per_Imp_1,11_Per_Imp_1,12_Per_Imp_1,13_Per_Imp_1,14_Per_Imp_1,15_Per_Imp_1,16_Per_Imp_1,17_Per_Imp_1,18_Per_Imp_1,19_Per_Imp_1,20_Per_Imp_1,21_Per_Imp_1,22_Per_Imp_1,23_Per_Imp_1,24_Per_Imp_1,25_Per_Imp_1,26_Per_Imp_1,27_Per_Imp_1,28_Per_Imp_1,29_Per_Imp_1,30_Per_Imp_1,1_Per_Con_1,2_Per_Con_1,3_Per_Con_1,4_Per_Con_1,5_Per_Con_1,6_Per_Con_1,7_Per_Con_1,8_Per_Con_1,9_Per_Con_1,10_Per_Con_1,11_Per_Con_1,12_Per_Con_1,13_Per_Con_1,14_Per_Con_1,15_Per_Con_1,16_Per_Con_1,17_Per_Con_1,18_Per_Con_1,19_Per_Con_1,20_Per_Con_1,21_Per_Con_1,22_Per_Con_1,23_Per_Con_1,24_Per_Con_1,25_Per_Con_1,26_Per_Con_1,27_Per_Con_1,28_Per_Con_1,29_Per_Con_1,30_Per_Con_1,Practice_Gen_1,1_Gen_Rea_1,2_Gen_Rea_1,3_Gen_Rea_1,4_Gen_Rea_1,5_Gen_Rea_1,6_Gen_Rea_1,7_Gen_Rea_1,8_Gen_Rea_1,9_Gen_Rea_1,10_Gen_Rea_1,11_Gen_Rea_1,12_Gen_Rea_1,13_Gen_Rea_1,14_Gen_Rea_1,15_Gen_Rea_1,16_Gen_Rea_1,17_Gen_Rea_1,18_Gen_Rea_1,19_Gen_Rea_1,20_Gen_Rea_1,21_Gen_Rea_1,22_Gen_Rea_1,23_Gen_Rea_1,24_Gen_Rea_1,25_Gen_Rea_1,26_Gen_Rea_1,27_Gen_Rea_1,28_Gen_Rea_1,29_Gen_Rea_1,30_Gen_Rea_1,1_Gen_Imp_1,2_Gen_Imp_1,3_Gen_Imp_1,4_Gen_Imp_1,5_Gen_Imp_1,6_Gen_Imp_1,7_Gen_Imp_1,8_Gen_Imp_1,9_Gen_Imp_1,10_Gen_Imp_1,11_Gen_Imp_1,12_Gen_Imp_1,13_Gen_Imp_1,14_Gen_Imp_1,15_Gen_Imp_1,16_Gen_Imp_1,17_Gen_Imp_1,18_Gen_Imp_1,19_Gen_Imp_1,20_Gen_Imp_1,21_Gen_Imp_1,22_Gen_Imp_1,23_Gen_Imp_1,24_Gen_Imp_1,25_Gen_Imp_1,26_Gen_Imp_1,27_Gen_Imp_1,28_Gen_Imp_1,29_Gen_Imp_1,30_Gen_Imp_1,1_Gen_Con_1,2_Gen_Con_1,3_Gen_Con_1,4_Gen_Con_1,5_Gen_Con_1,6_Gen_Con_1,7_Gen_Con_1,8_Gen_Con_1,9_Gen_Con_1,10_Gen_Con_1,11_Gen_Con_1,12_Gen_Con_1,13_Gen_Con_1,14_Gen_Con_1,15_Gen_Con_1,16_Gen_Con_1,17_Gen_Con_1,18_Gen_Con_1,19_Gen_Con_1,20_Gen_Con_1,21_Gen_Con_1,22_Gen_Con_1,23_Gen_Con_1,24_Gen_Con_1,25_Gen_Con_1,26_Gen_Con_1,27_Gen_Con_1,28_Gen_Con_1,29_Gen_Con_1,30_Gen_Con_1
465,TRUE,R_1pzgDgxlZBgvo6e,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,28,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,49,25,22,63,0,54,27,0,100,0,89,100,58,0,0,0,0,53,0,86,0,77,100,73,67,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,TRUE,R_2XolebKzWHjSrlC,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,25,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,38,8,33,40,43,35,0,33,12,0,100,76,85,72,68,27,13,75,58,69,85,77,16,74,76,75,35,31,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,TRUE,R_3QDm7deysgAtKS7,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,24,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,25,12,38,13,24,16,51,0,94,19,38,70,61,60,7,58,63,9,24,42,30,70,70,38,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,TRUE,R_aXymf3gADDoMcCJ,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,27,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,56,0,8,62,0,81,13,0,100,3,100,65,6,52,0,17,49,91,20,15,0,100,0,72,58,4,0,0
642,TRUE,R_2cCRgDaCAGLTJnL,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,43,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,0,7,1,0,1,9,0,78,0,23,59,0,36,0,5,10,0,0,17,0,57,1,0,12,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,TRUE,R_2tf1gdo3I5NBZ6A,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,55,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,5,2,50,3,4,24,0,61,21,0,97,1,3,91,80,4,0,11,19,3,22,53,4,50,3,8,12,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,TRUE,R_1n31NyEc5eOpgYn,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,34,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,60,2,63,0,0,58,35,0,62,0,75,7,34,14,0,82,1,11,62,96,0,100,6,10,20,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,TRUE,R_1gSaR9pM4TIE9ir,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,32,Female,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,Lithuania,100,1,1,45,48,14,0,5,5,85,0,92,0,96,98,97,17,5,51,25,0,74,66,0,97,95,11,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,TRUE,R_ai3bBnOdHJRM9Zn,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,59,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,90,15,5,74,5,10,5,2,9,22,4,95,4,69,92,49,74,4,24,90,8,14,64,5,94,7,87,4,7,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,TRUE,R_33aj2w53TFAPoFl,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,63,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,19,0,36,0,0,50,0,0,49,0,0,19,1,20,2,49,0,29,0,73,0,77,0,32,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,TRUE,R_2VdsyahG7aYmK6s,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,19,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,57,81,19,85,44,0,44,77,20,100,55,100,90,91,76,29,100,91,0,61,100,56,100,75,57,68,68,59,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,TRUE,R_1NsiPxwYJ3NNu6g,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,32,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,41,63,66,45,66,45,50,23,12,25,13,44,62,58,41,31,31,68,65,61,91,61,62,16,53,34,23,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,TRUE,R_1nOtMXfU4NwDn7X,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,67,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,10,0,4,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,TRUE,R_ekV086DMYAXWk37,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,41,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,52,0,92,0,0,0,0,0,48,0,0,0,22,0,0,18,0,0,0,91,0,82,0,0,0,0,0,0
632,TRUE,R_R8iOqluErrddD8t,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,24,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,78,66,68,89,79,8,75,60,12,97,16,88,87,86,95,22,74,83,42,57,95,46,92,10,72,34,9,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,TRUE,R_2WNzVeNqbsjwf03,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,58,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,22,2,7,31,10,10,71,16,72,12,16,10,11,10,8,20,11,6,20,1,10,70,0,60,22,1,29,9
727,TRUE,R_21cTyfrZtq08fn4,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,61,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,19,0,50,33,0,59,0,0,97,5,86,64,89,41,0,75,30,42,94,92,0,64,3,84,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,TRUE,R_3MM5kzSJS0K4YWk,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,38,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,48,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,TRUE,R_1j8w1U4bJfYt6I5,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,18,Male,"No, it's my second language.",United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,49,68,66,70,56,58,35,37,39,94,92,93,93,94,80,48,79,74,36,50,48,64,100,75,98,46,55,45,45
824,TRUE,R_VUcizm26Pczviff,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,34,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,44,0,0,39,0,48,10,0,100,29,77,26,62,25,0,55,11,63,19,100,10,76,14,50,17,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,TRUE,R_AMN1Z11swVhoFzz,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,40,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,43,0,66,29,73,46,0,75,0,17,100,79,100,69,100,70,47,74,0,71,0,82,0,100,0,46,29,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,TRUE,R_25T4gDf7gTq9VO9,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,64,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,26,0,0,0,0,0,34,0,17,24,0,46,0,6,3,0,0,40,0,50,0,0,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,TRUE,R_2D0jX1YEmVfu5nZ,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,47,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0,0,16,0,7,1,0,9,0,0,8,0,3,0,19,7,0,5,2,0,0,10,0,9,3,0,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,TRUE,R_2ALIeFwfrCiliUp,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,29,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,97,2,29,54,1,53,74,0,98,5,78,81,96,51,5,10,33,31,2,46,9,98,7,51,55,2,0,6
972,TRUE,R_WCIDWxH2x8vFTnr,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,41,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,41,0,28,4,10,34,52,0,84,15,68,26,21,66,3,27,51,11,63,96,1,68,1,11,29,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,TRUE,R_3ETrrowVKaHE2kH,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,39,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,97,0,98,76,1,82,91,2,100,1,95,100,5,0,2,64,0,18,100,100,0,100,4,58,99,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,TRUE,R_1C2eEB6ntWcVlkY,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,59,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,20,0,10,19,1,49,0,0,100,3,49,65,19,66,3,85,71,88,0,73,14,100,78,2,14,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,TRUE,R_1qXmWcZBs7JhL02,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,24,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,50,74,5,46,43,25,54,43,1,78,13,94,78,30,45,26,52,71,55,71,93,0,86,0,50,64,51,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,TRUE,R_2XbrRlqnfn2NcFt,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,19,Male,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,21,31,64,41,100,22,28,100,24,34,100,61,66,100,100,86,36,91,77,74,89,76,20,100,83,38,74,74,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,TRUE,R_3oFUw2ptShzNojZ,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,22,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,25,14,9,16,0,18,4,0,100,0,100,83,90,64,0,81,72,11,18,84,0,100,19,9,17,25,0,0
1772,TRUE,R_2WVdZsm4CPq2JvQ,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,28,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,40,24,20,54,11,29,9,6,5,84,66,86,87,65,62,37,72,49,10,54,69,34,83,19,30,36,40,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2108,TRUE,R_pShm87oJXsHd9Kx,EN,I hereby consent to my participation in this experiment.,"Yes, I hereby agree and consent to the use of my data in future research.",Chicago,No,Yes,Yes,29,Female,Yes.,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,39,3,1,59,1,42,30,1,45,45,1,91,52,61,41,59,43,0,74,50,10,36,74,0,89,12,9,53,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
